record_type,persistence_exchange_ratio,persistence_mean,exchange_mean,diffusion_coefficient,tau_alpha,stokes_einstein_product,late_time,late_ngp,time,ngp,alpha_decay
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,4.50181413760011,0.6042890584239913,0.7863123466892783
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,4.678730938203215,0.6205466683993883,0.7767691634905829
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,4.862600392420835,0.6360313228503678,0.7668756913347127
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,5.053695732597879,0.6506379362064152,0.7566279269185998
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,5.252300928837591,0.664264850356952,0.7460227343109532
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,5.458711110984748,0.6768152789292172,0.7350579283176023
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,5.673233007192327,0.6881987169403982,0.7237323580479588
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,5.896185399723461,0.6983322802124131,0.7120459898716422
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,6.127899598665918,0.7071419399635016,0.6999999888798685
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,6.368719934263106,0.7145636204127838,0.6875967978983011
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,6.619004268593205,0.720544130972597,0.6748402130389458
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,6.87912452735673,0.7250419095028285,0.661735454730526
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,7.149467252562859,0.7280275589352398,0.6482892331318335
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,7.430434176935799,0.7294841660649433,0.6345098068129078
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,7.72244282089467,0.7294073981360346,0.6204070335864338
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,8.02592711299418,0.7278053796915441,0.6059924123880575
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,8.341338034747967,0.7246983586952609,0.5912791151406163
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,8.669144290792845,0.7201181768757321,0.5762820075942415
