replicate,temperature,jump_count,sample_count,conditional_msd,conditional_fourth_moment,conditional_characteristic_k2,conditional_characteristic_k4,conditional_characteristic_k7p25
1.0,0.45,56.0,3105.0,1.5306668172501126,6.217696397106314,0.45051341029298475,0.14413624704011319,0.07045078561217664
1.0,0.45,57.0,2859.0,1.5499649772154183,6.423854726571564,0.44750439366562067,0.14221979214933486,0.07539156470492388
1.0,0.45,58.0,2635.0,1.5694169914015361,6.598252105762229,0.44495953603083715,0.14133015415769024,0.07668231865691566
1.0,0.45,59.0,2425.0,1.5946724414380227,6.801778254180478,0.44038853670682976,0.14328050637477702,0.07254836347405799
1.0,0.45,60.0,2229.0,1.621127006204213,6.972031412974511,0.43546732464129023,0.144067776730085,0.07594569461554591
2.0,0.45,0.0,3132.0,0.0,0.0,1.0,1.0,1.0
2.0,0.45,1.0,82671.0,0.06696280252995465,0.01739188491334692,0.9575476286495742,0.8514483708943805,0.6411908256993424
2.0,0.45,2.0,79539.0,0.10284556477456325,0.04152501078481018,0.9365430264262157,0.7918693236660409,0.5496760879633561
2.0,0.45,3.0,76499.0,0.13627926291241216,0.06886352683921419,0.9174594827229878,0.7405583887709215,0.4761489305799542
2.0,0.45,4.0,73528.0,0.168520553640797,0.10036816476685158,0.8995864698235426,0.6958568331509144,0.419636936027694
2.0,0.45,5.0,70647.0,0.20004443418109455,0.13643001286137993,0.8826260755934188,0.655810530500796,0.3737848121622629
2.0,0.45,6.0,67828.0,0.23151878620742508,0.17708032032397744,0.8661224969412165,0.6188461775666371,0.33476215063421316
2.0,0.45,7.0,65091.0,0.2625250500077446,0.22295976386174196,0.8503078404971807,0.5857535750920824,0.30390318149044704
2.0,0.45,8.0,62438.0,0.2933929375698386,0.270966288572999,0.834799461974984,0.554366534180706,0.2749096799605632
2.0,0.45,9.0,59847.0,0.32396147125105706,0.32205401480655393,0.8197891091568169,0.5264442365953794,0.25153192223056836
2.0,0.45,10.0,57334.0,0.35387623964276177,0.3759069878420382,0.8054407172448081,0.5007877261572216,0.2322887404017637
2.0,0.45,11.0,54898.0,0.3842816376025007,0.4362653355761014,0.7912423234987225,0.47697476975333963,0.2156389894885159
2.0,0.45,12.0,52519.0,0.41438470896980234,0.49656156087494796,0.7774723522023789,0.4553068301858051,0.19964397266706896
2.0,0.45,13.0,50211.0,0.4444950651723931,0.5596454755395772,0.7639583631003559,0.4338206457675129,0.18460657476096506
2.0,0.45,14.0,47972.0,0.47459910823117596,0.6302781892190394,0.750824094711947,0.41413610034191006,0.17267615482417442
2.0,0.45,15.0,45806.0,0.5045764362576856,0.7003271712456449,0.7378538783489568,0.39478152899622165,0.16196323510156865
2.0,0.45,16.0,43698.0,0.5348045644921947,0.7749163852179914,0.7250831286135799,0.37777773807928555,0.152641381007982
