q_over_A,t_over_t_peak,alpha_over_alpha_peak,predicted_t_peak,predicted_alpha_peak
0.6,0.8091416309012875,0.9750023277810953,13.69700402475259,0.15
0.6,0.8148497854077253,0.9766694299199926,13.69700402475259,0.15
0.6,0.8205579399141631,0.9782664510550114,13.69700402475259,0.15
0.6,0.826266094420601,0.9797948423649568,13.69700402475259,0.15
0.6,0.8319742489270386,0.9812560314425575,13.69700402475259,0.15
0.6,0.8376824034334764,0.982651422329619,13.69700402475259,0.15
0.6,0.8433905579399142,0.9839823955784052,13.69700402475259,0.15
0.6,0.8490987124463519,0.9852503083373836,13.69700402475259,0.15
0.6,0.8548068669527897,0.9864564944593734,13.69700402475259,0.15
0.6,0.8605150214592275,0.9876022646303733,13.69700402475259,0.15
0.6,0.8662231759656652,0.9886889065173706,13.69700402475259,0.15
0.6,0.871931330472103,0.9897176849335739,13.69700402475259,0.15
0.6,0.8776394849785408,0.9906898420195602,13.69700402475259,0.15
0.6,0.8833476394849786,0.9916065974389587,13.69700402475259,0.15
0.6,0.8890557939914163,0.992469148587339,13.69700402475259,0.15
0.6,0.8947639484978541,0.9932786708130678,13.69700402475259,0.15
0.6,0.9004721030042919,0.9940363176489594,13.69700402475259,0.15
0.6,0.9061802575107296,0.9947432210536444,13.69700402475259,0.15
0.6,0.9118884120171674,0.9954004916616155,13.69700402475259,0.15
0.6,0.9175965665236052,0.9960092190409794,13.69700402475259,0.15
0.6,0.9233047210300429,0.9965704719580278,13.69700402475259,0.15
0.6,0.9290128755364807,0.9970852986477752,13.69700402475259,0.15
0.6,0.9347210300429185,0.9975547270896653,13.69700402475259,0.15
0.6,0.9404291845493563,0.9979797652877265,13.69700402475259,0.15
0.6,0.946137339055794,0.998361401554447,13.69700402475259,0.15
0.6,0.9518454935622318,0.9987006047977806,13.69700402475259,0.15
0.6,0.9575536480686696,0.9989983248106235,13.69700402475259,0.15
0.6,0.9632618025751073,0.9992554925622537,13.69700402475259,0.15
0.6,0.9689699570815451,0.9994730204911766,13.69700402475259,0.15
0.6,0.9746781115879829,0.9996518027989154,13.69700402475259,0.15
0.6,0.9803862660944207,0.9997927157442884,13.69700402475259,0.15
0.6,0.9860944206008584,0.9998966179377611,13.69700402475259,0.15
0.6,0.9918025751072962,0.9999643506354857,13.69700402475259,0.15
0.6,0.997510729613734,0.9999967380326868,13.69700402475259,0.15
0.6,1.0032188841201717,0.9999945875560323,13.69700402475259,0.15
0.6,1.0089270386266094,0.9999586901547424,13.69700402475259,0.15
0.6,1.0146351931330473,0.9998898205901046,13.69700402475259,0.15
0.6,1.020343347639485,0.99978873772317,13.69700402475259,0.15
0.6,1.026051502145923,0.999656184800409,13.69700402475259,0.15
0.6,1.0317596566523606,0.9994928897370725,13.69700402475259,0.15
0.6,1.0374678111587983,0.9992995653981293,13.69700402475259,0.15
0.6,1.0431759656652362,0.99907690987653,13.69700402475259,0.15
0.6,1.0488841201716739,0.9988256067687074,13.69700402475259,0.15
0.6,1.0545922746781116,0.9985463254471257,13.69700402475259,0.15
0.6,1.0603004291845495,0.9982397213297775,13.69700402475259,0.15
0.6,1.0660085836909872,0.9979064361464933,13.69700402475259,0.15
0.6,1.0717167381974249,0.9975470982019896,13.69700402475259,0.15
0.6,1.0774248927038628,0.9971623226355275,13.69700402475259,0.15
0.6,1.0831330472103005,0.996752711677161,13.69700402475259,0.15
0.6,1.0888412017167381,0.9963188549004414,13.69700402475259,0.15
0.6,1.094549356223176,0.9958613294715709,13.69700402475259,0.15
0.6,1.1002575107296138,0.9953807003949441,13.69700402475259,0.15
0.6,1.1059656652360517,0.9948775207550294,13.69700402475259,0.15
0.6,1.1116738197424894,0.99435233195456,13.69700402475259,0.15
0.6,1.117381974248927,0.9938056639490123,13.69700402475259,0.15
0.6,1.123090128755365,0.9932380354773759,13.69700402475259,0.15
0.6,1.1287982832618026,0.9926499542891509,13.69700402475259,0.15
0.6,1.1345064377682403,0.9920419173676291,13.69700402475259,0.15
0.6,1.1402145922746783,0.9914144111494243,13.69700402475259,0.15
0.6,1.145922746781116,0.9907679117402454,13.69700402475259,0.15
0.6,1.1516309012875536,0.9901028851269533,13.69700402475259,0.15
0.6,1.1573390557939915,0.9894197873859086,13.69700402475259,0.15
0.6,1.1630472103004292,0.9887190648876103,13.69700402475259,0.15
0.6,1.168755364806867,0.9880011544976464,13.69700402475259,0.15
0.6,1.1744635193133048,0.9872664837740238,13.69700402475259,0.15
0.6,1.1801716738197425,0.9865154711608426,13.69700402475259,0.15
0.6,1.1858798283261802,0.9857485261783813,13.69700402475259,0.15
0.6,1.1915879828326181,0.9849660496096391,13.69700402475259,0.15
0.6,1.1972961373390558,0.9841684336833308,13.69700402475259,0.15
0.6,1.2030042918454935,0.9833560622533903,13.69700402475259,0.15
0.6,1.2087124463519314,0.9825293109750459,13.69700402475259,0.15
0.6,1.2144206008583691,0.9816885474774484,13.69700402475259,0.15
0.6,1.220128755364807,0.9808341315329698,13.69700402475259,0.15
0.6,1.2258369098712447,0.9799664152231369,13.69700402475259,0.15
0.6,1.2315450643776824,0.9790857431013105,13.69700402475259,0.15
0.6,1.2372532188841203,0.9781924523521157,13.69700402475259,0.15
0.6,1.242961373390558,0.9772868729476736,13.69700402475259,0.15
0.6,1.2486695278969957,0.9763693278007102,13.69700402475259,0.15
0.6,1.2543776824034336,0.9754401329145365,13.69700402475259,0.15
0.6,1.2600858369098713,0.9744995975300016,13.69700402475259,0.15
0.6,1.265793991416309,0.9735480242694388,13.69700402475259,0.15
0.6,1.271502145922747,0.9725857092776484,13.69700402475259,0.15
0.6,1.2772103004291846,0.9716129423599733,13.69700402475259,0.15
0.6,1.2829184549356223,0.9706300071175441,13.69700402475259,0.15
0.6,1.2886266094420602,0.9696371810796686,13.69700402475259,0.15
