held_clone_index,innovation_block_length,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,66.0,up,0.0005779959555283231,0.019720960413923398,-0.03229961588160112,0.0
1.0,40.0,66.0,pu,0.00037354184886957323,-0.013558473605514276,-0.03229961588160112,0.0
1.0,40.0,66.0,pp,-0.0016388858154493312,-0.009845754153643207,0.9444704517169319,0.0
1.0,40.0,67.0,uu,0.21903224053024659,0.12708367263455697,1.101850517185994,0.0
1.0,40.0,67.0,up,0.00031071088659861767,0.017257156661861082,-0.03415693984543355,0.0
1.0,40.0,67.0,pu,0.0006067621794678461,0.0005747517326434628,-0.03415693984543355,0.0
1.0,40.0,67.0,pp,-0.0011526897830623608,-0.0193989740539324,0.9607774419315068,0.0
1.0,40.0,68.0,uu,0.21913283369030953,0.12853227673432363,1.0895292992901209,0.0
1.0,40.0,68.0,up,0.00010206123889566039,0.013326493810927162,-0.03138994750413767,0.0
1.0,40.0,68.0,pu,0.0007732796093692458,0.014022385811505795,-0.03138994750413767,0.0
1.0,40.0,68.0,pp,-0.0009548657195903416,-0.023941387452336718,0.9922445954576526,0.0
1.0,40.0,69.0,uu,0.21926671110089543,0.13179017187107275,1.0804769782759256,0.0
1.0,40.0,69.0,up,-0.00011494617273448005,0.00845193717739119,-0.016643465729815374,0.0
1.0,40.0,69.0,pu,0.0009294618493306948,0.020707943823053722,-0.016643465729815374,0.0
1.0,40.0,69.0,pp,-0.0010845954604904058,-0.027598881402965146,1.0100428266098722,0.0
1.0,40.0,70.0,uu,0.21943996594015094,0.13605407854491547,1.0767943694206084,0.0
1.0,40.0,70.0,up,-0.0003906772168524167,0.003465406488177577,0.0014969061736877921,0.0
1.0,40.0,70.0,pu,0.0011198585120993638,0.026394700869387885,0.0014969061736877921,0.0
1.0,40.0,70.0,pp,-0.0013733502392871985,-0.027409394562725342,1.019929067617176,0.0
1.0,40.0,71.0,uu,0.21966547753395324,0.14086537753466472,1.0805640357540502,0.0
