replicate,temperature,block_size,window,block_lag,first_count,second_count,frequency,probability,pair_observation_count
1.0,0.58,100.0,calibration,1.0,10.0,2.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,heldout,1.0,0.0,0.0,1531.0,0.07786593428949243,19662.0
1.0,0.58,100.0,heldout,1.0,0.0,1.0,1664.0,0.08463025124605839,19662.0
1.0,0.58,100.0,heldout,1.0,0.0,2.0,1160.0,0.058997050147492625,19662.0
1.0,0.58,100.0,heldout,1.0,0.0,3.0,607.0,0.030871732275455192,19662.0
1.0,0.58,100.0,heldout,1.0,0.0,4.0,255.0,0.012969179127250534,19662.0
1.0,0.58,100.0,heldout,1.0,0.0,5.0,102.0,0.0051876716509002135,19662.0
1.0,0.58,100.0,heldout,1.0,0.0,6.0,34.0,0.0017292238836334045,19662.0
1.0,0.58,100.0,heldout,1.0,0.0,7.0,8.0,0.00040687620791374224,19662.0
1.0,0.58,100.0,heldout,1.0,0.0,8.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,heldout,1.0,0.0,10.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,heldout,1.0,1.0,0.0,1604.0,0.08157867968670532,19662.0
1.0,0.58,100.0,heldout,1.0,1.0,1.0,1683.0,0.08559658223985353,19662.0
1.0,0.58,100.0,heldout,1.0,1.0,2.0,1307.0,0.06647340046790765,19662.0
1.0,0.58,100.0,heldout,1.0,1.0,3.0,737.0,0.037483470654053504,19662.0
1.0,0.58,100.0,heldout,1.0,1.0,4.0,341.0,0.017343098362323263,19662.0
1.0,0.58,100.0,heldout,1.0,1.0,5.0,113.0,0.005747126436781609,19662.0
1.0,0.58,100.0,heldout,1.0,1.0,6.0,37.0,0.0018818024616010579,19662.0
1.0,0.58,100.0,heldout,1.0,1.0,7.0,9.0,0.00045773573390296,19662.0
1.0,0.58,100.0,heldout,1.0,1.0,8.0,7.0,0.00035601668192452446,19662.0
1.0,0.58,100.0,heldout,1.0,1.0,9.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,heldout,1.0,2.0,0.0,1122.0,0.05706438815990235,19662.0
1.0,0.58,100.0,heldout,1.0,2.0,1.0,1236.0,0.06286237412267318,19662.0
1.0,0.58,100.0,heldout,1.0,2.0,2.0,1006.0,0.051164683145153086,19662.0
1.0,0.58,100.0,heldout,1.0,2.0,3.0,553.0,0.028125317872037432,19662.0
1.0,0.58,100.0,heldout,1.0,2.0,4.0,263.0,0.013376055335164276,19662.0
1.0,0.58,100.0,heldout,1.0,2.0,5.0,86.0,0.004373919235072729,19662.0
1.0,0.58,100.0,heldout,1.0,2.0,6.0,32.0,0.001627504831654969,19662.0
1.0,0.58,100.0,heldout,1.0,2.0,7.0,7.0,0.00035601668192452446,19662.0
1.0,0.58,100.0,heldout,1.0,2.0,8.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,heldout,1.0,2.0,9.0,2.0,0.00010171905197843556,19662.0
1.0,0.58,100.0,heldout,1.0,3.0,0.0,581.0,0.02954938459973553,19662.0
1.0,0.58,100.0,heldout,1.0,3.0,1.0,736.0,0.037432611128064286,19662.0
1.0,0.58,100.0,heldout,1.0,3.0,2.0,547.0,0.027820160716102126,19662.0
1.0,0.58,100.0,heldout,1.0,3.0,3.0,309.0,0.015715593530668294,19662.0
1.0,0.58,100.0,heldout,1.0,3.0,4.0,156.0,0.007934086054317974,19662.0
1.0,0.58,100.0,heldout,1.0,3.0,5.0,64.0,0.003255009663309938,19662.0
1.0,0.58,100.0,heldout,1.0,3.0,6.0,21.0,0.0010680500457735734,19662.0
1.0,0.58,100.0,heldout,1.0,3.0,7.0,7.0,0.00035601668192452446,19662.0
1.0,0.58,100.0,heldout,1.0,3.0,8.0,3.0,0.00015257857796765334,19662.0
1.0,0.58,100.0,heldout,1.0,4.0,0.0,284.0,0.01444410538093785,19662.0
1.0,0.58,100.0,heldout,1.0,4.0,1.0,314.0,0.015969891160614383,19662.0
1.0,0.58,100.0,heldout,1.0,4.0,2.0,257.0,0.01307089817922897,19662.0
1.0,0.58,100.0,heldout,1.0,4.0,3.0,150.0,0.007628928898382667,19662.0
1.0,0.58,100.0,heldout,1.0,4.0,4.0,77.0,0.003916183501169769,19662.0
1.0,0.58,100.0,heldout,1.0,4.0,5.0,30.0,0.0015257857796765334,19662.0
1.0,0.58,100.0,heldout,1.0,4.0,6.0,8.0,0.00040687620791374224,19662.0
1.0,0.58,100.0,heldout,1.0,4.0,7.0,3.0,0.00015257857796765334,19662.0
1.0,0.58,100.0,heldout,1.0,4.0,8.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,heldout,1.0,5.0,0.0,85.0,0.004323059709083511,19662.0
1.0,0.58,100.0,heldout,1.0,5.0,1.0,123.0,0.006255721696673787,19662.0
1.0,0.58,100.0,heldout,1.0,5.0,2.0,99.0,0.00503509307293256,19662.0
1.0,0.58,100.0,heldout,1.0,5.0,3.0,55.0,0.002797273929406978,19662.0
1.0,0.58,100.0,heldout,1.0,5.0,4.0,24.0,0.0012206286237412267,19662.0
1.0,0.58,100.0,heldout,1.0,5.0,5.0,15.0,0.0007628928898382667,19662.0
1.0,0.58,100.0,heldout,1.0,5.0,6.0,7.0,0.00035601668192452446,19662.0
1.0,0.58,100.0,heldout,1.0,5.0,7.0,2.0,0.00010171905197843556,19662.0
1.0,0.58,100.0,heldout,1.0,6.0,0.0,28.0,0.0014240667276980978,19662.0
1.0,0.58,100.0,heldout,1.0,6.0,1.0,33.0,0.0016783643576441867,19662.0
1.0,0.58,100.0,heldout,1.0,6.0,2.0,31.0,0.0015766453056657512,19662.0
1.0,0.58,100.0,heldout,1.0,6.0,3.0,27.0,0.00137320720170888,19662.0
1.0,0.58,100.0,heldout,1.0,6.0,4.0,11.0,0.0005594547858813956,19662.0
1.0,0.58,100.0,heldout,1.0,6.0,5.0,6.0,0.0003051571559353067,19662.0
1.0,0.58,100.0,heldout,1.0,6.0,6.0,3.0,0.00015257857796765334,19662.0
1.0,0.58,100.0,heldout,1.0,7.0,0.0,9.0,0.00045773573390296,19662.0
1.0,0.58,100.0,heldout,1.0,7.0,1.0,9.0,0.00045773573390296,19662.0
