temperature,lag,observable,channel,shapley_contribution,calibration_value,heldout_oracle_value,observed_value,calibration_to_oracle_shift,oracle_representation_residual
0.45,200.0,msd,count,0.001016589230187934,0.07981898647058938,0.08089902247398394,0.07520056123369137,0.001080036003394555,-0.0056984612402925655
0.45,200.0,msd,kernel,-0.00010102432529903818,0.07981898647058938,0.08089902247398394,0.07520056123369137,0.001080036003394555,-0.0056984612402925655
0.45,200.0,msd,residual,0.000164471098505659,0.07981898647058938,0.08089902247398394,0.07520056123369137,0.001080036003394555,-0.0056984612402925655
0.45,200.0,fourth_moment,count,0.0008019749857266338,0.029467936039132156,0.03051465444963358,0.028383001374182756,0.001046718410501423,-0.0021316530754508234
0.45,200.0,fourth_moment,kernel,0.00020772931996017432,0.029467936039132156,0.03051465444963358,0.028383001374182756,0.001046718410501423,-0.0021316530754508234
0.45,200.0,fourth_moment,residual,3.701410481461488e-05,0.029467936039132156,0.03051465444963358,0.028383001374182756,0.001046718410501423,-0.0021316530754508234
0.45,200.0,fs_k2,count,-0.0005821197891690555,0.950343076229483,0.9497610093021566,0.9533016497076988,-0.0005820669273264301,0.0035406404055422502
0.45,200.0,fs_k2,kernel,0.00010595965218612724,0.950343076229483,0.9497610093021566,0.9533016497076988,-0.0005820669273264301,0.0035406404055422502
0.45,200.0,fs_k2,residual,-0.00010590679034350181,0.950343076229483,0.9497610093021566,0.9533016497076988,-0.0005820669273264301,0.0035406404055422502
0.45,200.0,fs_k4,count,-0.0015763158846764935,0.8319016526732996,0.8304940378222111,0.8424183294324846,-0.0014076148510885345,0.01192429161027353
0.45,200.0,fs_k4,kernel,0.0005612988907697236,0.8319016526732996,0.8304940378222111,0.8424183294324846,-0.0014076148510885345,0.01192429161027353
0.45,200.0,fs_k4,residual,-0.00039259785718176454,0.8319016526732996,0.8304940378222111,0.8424183294324846,-0.0014076148510885345,0.01192429161027353
0.45,200.0,fs_k7p25,count,-0.0022748772702358604,0.5998227417306542,0.5971458739353824,0.6236796305483269,-0.0026768677952717645,0.026533756612944437
0.45,200.0,fs_k7p25,kernel,0.0007075360548252455,0.5998227417306542,0.5971458739353824,0.6236796305483269,-0.0026768677952717645,0.026533756612944437
0.45,200.0,fs_k7p25,residual,-0.0011095265798611491,0.5998227417306542,0.5971458739353824,0.6236796305483269,-0.0026768677952717645,0.026533756612944437
0.45,500.0,msd,count,0.00250497631207601,0.128123678347936,0.1318201480009891,0.1262955126161884,0.0036964696530530916,-0.005524635384800691
0.45,500.0,msd,kernel,0.0005707287901527969,0.128123678347936,0.1318201480009891,0.1262955126161884,0.0036964696530530916,-0.005524635384800691
0.45,500.0,msd,residual,0.0006207645508242848,0.128123678347936,0.1318201480009891,0.1262955126161884,0.0036964696530530916,-0.005524635384800691
0.45,500.0,fourth_moment,count,0.0029286834746945394,0.08263331879119297,0.08706622745258612,0.08409026771246454,0.004432908661393148,-0.0029759597401215754
0.45,500.0,fourth_moment,kernel,0.001235717145655205,0.08263331879119297,0.08706622745258612,0.08409026771246454,0.004432908661393148,-0.0029759597401215754
0.45,500.0,fourth_moment,residual,0.0002685080410434031,0.08263331879119297,0.08706622745258612,0.08409026771246454,0.004432908661393148,-0.0029759597401215754
0.45,500.0,fs_k2,count,-0.0013407220059650966,0.9240925169580153,0.922201595379589,0.9255414798411173,-0.0018909215784262967,0.0033398844615283307
0.45,500.0,fs_k2,kernel,-0.00016803745006207146,0.9240925169580153,0.922201595379589,0.9255414798411173,-0.0018909215784262967,0.0033398844615283307
0.45,500.0,fs_k2,residual,-0.00038216212239912856,0.9240925169580153,0.922201595379589,0.9255414798411173,-0.0018909215784262967,0.0033398844615283307
0.45,500.0,fs_k4,count,-0.0031929865306355625,0.767310664262488,0.7629207808103735,0.7737458591055776,-0.00438988345211444,0.010825078295204071
0.45,500.0,fs_k4,kernel,8.052330076883477e-05,0.767310664262488,0.7629207808103735,0.7737458591055776,-0.00438988345211444,0.010825078295204071
0.45,500.0,fs_k4,residual,-0.0012774202222477122,0.767310664262488,0.7629207808103735,0.7737458591055776,-0.00438988345211444,0.010825078295204071
