replicate,temperature,block_size,first_count,second_count,heldout_probability,hybrid_probability
2.0,0.45,50.0,5.0,8.0,3.0823955144980473e-06,1.7419361324877036e-08
2.0,0.45,50.0,5.0,9.0,3.0823955144980473e-06,2.2022413896022997e-09
2.0,0.45,50.0,5.0,10.0,0.0,2.505763754975521e-10
2.0,0.45,50.0,6.0,0.0,0.00013870779815241212,9.4500158547581e-05
2.0,0.45,50.0,6.0,1.0,0.00012021342506542384,5.510699354941326e-05
2.0,0.45,50.0,6.0,2.0,8.630707440594533e-05,3.070424086562127e-05
2.0,0.45,50.0,6.0,3.0,9.247186543494142e-05,1.1640023041512576e-05
2.0,0.45,50.0,6.0,4.0,2.4659164115984378e-05,3.31104242383581e-06
2.0,0.45,50.0,6.0,5.0,6.1647910289960945e-06,7.534767398272505e-07
2.0,0.45,50.0,6.0,6.0,6.1647910289960945e-06,1.4288735595960693e-07
2.0,0.45,50.0,6.0,7.0,3.0823955144980473e-06,2.322581499156238e-08
2.0,0.45,50.0,6.0,8.0,0.0,3.3033620689968077e-09
2.0,0.45,50.0,6.0,9.0,0.0,4.1762729054811713e-10
2.0,0.45,50.0,6.0,10.0,0.0,4.751864771432184e-11
2.0,0.45,50.0,7.0,0.0,4.9318328231968756e-05,1.5360653707959233e-05
2.0,0.45,50.0,7.0,1.0,2.7741559630482425e-05,8.957439433334856e-06
2.0,0.45,50.0,7.0,2.0,3.390635065947852e-05,4.990861598708391e-06
2.0,0.45,50.0,7.0,3.0,9.247186543494142e-06,1.8920430001945548e-06
2.0,0.45,50.0,7.0,4.0,1.5411977572490238e-05,5.38197786982385e-07
2.0,0.45,50.0,7.0,5.0,0.0,1.2247487709563634e-07
2.0,0.45,50.0,7.0,6.0,3.0823955144980473e-06,2.322581499156238e-08
2.0,0.45,50.0,7.0,7.0,0.0,3.775270935622734e-09
2.0,0.45,50.0,7.0,8.0,0.0,5.369493735075735e-10
2.0,0.45,50.0,7.0,9.0,0.0,6.788378244216427e-11
2.0,0.45,50.0,7.0,10.0,0.0,7.723981685083901e-12
2.0,0.45,50.0,8.0,0.0,9.247186543494142e-06,2.1847156205203306e-06
2.0,0.45,50.0,8.0,1.0,0.0,1.2739990252270067e-06
2.0,0.45,50.0,8.0,2.0,1.2329582057992189e-05,7.098404470531897e-07
2.0,0.45,50.0,8.0,3.0,0.0,2.691015614317165e-07
2.0,0.45,50.0,8.0,4.0,3.0823955144980473e-06,7.654681464489005e-08
2.0,0.45,50.0,8.0,5.0,0.0,1.7419361324877036e-08
2.0,0.45,50.0,8.0,6.0,0.0,3.3033620689968077e-09
2.0,0.45,50.0,8.0,7.0,0.0,5.369493735075735e-10
2.0,0.45,50.0,8.0,8.0,0.0,7.636925524727086e-11
2.0,0.45,50.0,8.0,9.0,0.0,9.654977106333703e-12
2.0,0.45,50.0,8.0,10.0,0.0,1.0985667512378572e-12
2.0,0.45,50.0,9.0,0.0,3.0823955144980473e-06,2.7620250101502464e-07
2.0,0.45,50.0,9.0,1.0,0.0,1.6106522686689703e-07
2.0,0.45,50.0,9.0,2.0,0.0,8.974152285835125e-08
2.0,0.45,50.0,9.0,3.0,0.0,3.402114380308459e-08
2.0,0.45,50.0,9.0,4.0,3.0823955144980473e-06,9.677425039254836e-09
2.0,0.45,50.0,9.0,5.0,0.0,2.2022413896022997e-09
2.0,0.45,50.0,9.0,6.0,0.0,4.1762729054811713e-10
2.0,0.45,50.0,9.0,7.0,0.0,6.788378244216427e-11
2.0,0.45,50.0,9.0,8.0,0.0,9.654977106333703e-12
2.0,0.45,50.0,9.0,9.0,0.0,1.2206297235975622e-12
2.0,0.45,50.0,9.0,10.0,0.0,1.3888621538390531e-13
2.0,0.45,50.0,10.0,0.0,0.0,3.1426991579792604e-08
2.0,0.45,50.0,10.0,1.0,3.0823955144980473e-06,1.8326392809412403e-08
2.0,0.45,50.0,10.0,2.0,0.0,1.0211008491461192e-08
2.0,0.45,50.0,10.0,3.0,0.0,3.871008393860695e-09
2.0,0.45,50.0,10.0,4.0,0.0,1.101120931581278e-09
2.0,0.45,50.0,10.0,5.0,0.0,2.505763754975521e-10
2.0,0.45,50.0,10.0,6.0,0.0,4.751864771432184e-11
2.0,0.45,50.0,10.0,7.0,0.0,7.723981685083901e-12
2.0,0.45,50.0,10.0,8.0,0.0,1.0985667512378572e-12
2.0,0.45,50.0,10.0,9.0,0.0,1.3888621538390531e-13
2.0,0.45,50.0,10.0,10.0,0.0,1.5802811000548916e-14
3.0,0.45,20.0,0.0,0.0,0.855255014565433,0.8646583655544257
3.0,0.45,20.0,0.0,1.0,0.04476863817797893,0.04486262520940854
3.0,0.45,20.0,0.0,2.0,0.010849623700784216,0.00933968777412737
3.0,0.45,20.0,0.0,3.0,0.0018836407577211502,0.0015103816736731948
3.0,0.45,20.0,0.0,4.0,0.00025123380307926857,0.00018371438199324267
