parent_group,target_slot,a_particle_index,escape_successes,clone_trials,observed_committor,geometry_heldout_committor,radial_heldout_committor,geometry_radial_heldout_committor,geometry_heldout_baseline_committor,radial_heldout_baseline_committor,geometry_radial_heldout_baseline_committor,thermodynamic_claim_allowed
3,57,3053,7,8,0.875,0.622836211226923,0.6776899660775897,0.6981689662074119,0.66748046875,0.66748046875,0.66748046875,False
3,58,3080,3,8,0.375,0.7207734837897773,0.7245759131994031,0.7728184444252005,0.66748046875,0.66748046875,0.66748046875,False
3,59,3106,3,8,0.375,0.6452406586740338,0.569991525498274,0.6043426330767622,0.66748046875,0.66748046875,0.66748046875,False
3,60,3151,7,8,0.875,0.6153226943843447,0.6778566063361048,0.6184923832460053,0.66748046875,0.66748046875,0.66748046875,False
3,61,3182,6,8,0.75,0.5841404624727665,0.5983295284641176,0.5976959614708178,0.66748046875,0.66748046875,0.66748046875,False
3,62,3209,3,8,0.375,0.6813983755703272,0.6080322377377496,0.6471800609116306,0.66748046875,0.66748046875,0.66748046875,False
3,63,3267,8,8,1.0,0.6879705153102431,0.6892883040831206,0.7102860497205911,0.66748046875,0.66748046875,0.66748046875,False
4,0,128,4,8,0.5,0.6471757261876364,0.55945309181612,0.5832327570682093,0.68505859375,0.68505859375,0.68505859375,False
4,1,134,2,8,0.25,0.7681447159013831,0.7875171120947351,0.8132480307509669,0.68505859375,0.68505859375,0.68505859375,False
4,2,236,8,8,1.0,0.7123315632850035,0.74015899847235,0.7484118346924161,0.68505859375,0.68505859375,0.68505859375,False
4,3,294,3,8,0.375,0.7151144007744455,0.6104445800580929,0.6019986519546147,0.68505859375,0.68505859375,0.68505859375,False
4,4,364,5,8,0.625,0.6662954931205451,0.552511659368019,0.5527854723909688,0.68505859375,0.68505859375,0.68505859375,False
4,5,419,6,8,0.75,0.6822433821196336,0.6605381235524193,0.658501809429139,0.68505859375,0.68505859375,0.68505859375,False
4,6,422,3,8,0.375,0.6925026285350927,0.5225996726735044,0.5703580342766345,0.68505859375,0.68505859375,0.68505859375,False
4,7,451,6,8,0.75,0.6968331675926576,0.5347212543515155,0.5797118485429371,0.68505859375,0.68505859375,0.68505859375,False
4,8,580,7,8,0.875,0.67991290352979,0.5683692826914076,0.5965613595352699,0.68505859375,0.68505859375,0.68505859375,False
4,9,682,6,8,0.75,0.5917091678094378,0.4601804329570204,0.42434815277765675,0.68505859375,0.68505859375,0.68505859375,False
4,10,719,4,8,0.5,0.6957962751072078,0.6255994392296013,0.605650094697047,0.68505859375,0.68505859375,0.68505859375,False
4,11,770,4,8,0.5,0.638020480120936,0.6178856843031235,0.6143353572176121,0.68505859375,0.68505859375,0.68505859375,False
4,12,804,4,8,0.5,0.6495256014309014,0.6178030687681076,0.6452751177492482,0.68505859375,0.68505859375,0.68505859375,False
4,13,896,6,8,0.75,0.6543815972308159,0.4977879221287663,0.5051925439733084,0.68505859375,0.68505859375,0.68505859375,False
