held_clone_index,bath_order,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,42.0,up,-0.00013345309298249303,0.01620002665159964,-0.02623527918158393,0.0
1.0,40.0,42.0,pu,0.0014230241177932937,0.015985082046096843,-0.02623527918158393,0.0
1.0,40.0,42.0,pp,0.006667031141992778,0.0189559088717964,1.054853677702293,0.0
1.0,40.0,43.0,uu,0.24147477955526603,0.16991744060714467,1.0416126409116724,0.0
1.0,40.0,43.0,up,0.001123826843358426,0.018056641099828095,-0.007148954425960102,0.0
1.0,40.0,43.0,pu,0.00015571521076178688,0.023664440699981346,-0.007148954425960102,0.0
1.0,40.0,43.0,pp,0.006960547941730324,0.004174902889162398,1.0355881765866564,0.0
1.0,40.0,44.0,uu,0.24131078776309506,0.17443044534003643,1.0407476837508742,0.0
1.0,40.0,44.0,up,0.0023723092010366404,0.017917720049483426,0.003980558484110072,0.0
1.0,40.0,44.0,pu,-0.0010857168736168516,0.029766338515033786,0.003980558484110072,0.0
1.0,40.0,44.0,pp,0.006546743048030005,-0.009365839721384214,1.011023596008614,0.0
1.0,40.0,45.0,uu,0.24092458789729257,0.1800331491152686,1.044111660822924,0.0
1.0,40.0,45.0,up,0.0035296751331933755,0.015623465108703063,0.013300266900436222,0.0
1.0,40.0,45.0,pu,-0.002244017419806398,0.0327284638277262,0.013300266900436222,0.0
1.0,40.0,45.0,pp,0.005983625769772657,-0.013216794575220193,0.9880565449020704,0.0
1.0,40.0,46.0,uu,0.2403352805369402,0.18537992646062376,1.0478274417964508,0.0
1.0,40.0,46.0,up,0.004569206387562948,0.012206971201871511,0.00829708672639916,0.0
1.0,40.0,46.0,pu,-0.0033052469205342174,0.029802476356431937,0.00829708672639916,0.0
1.0,40.0,46.0,pp,0.005456783232465205,-0.024263709686372623,0.9856234964059173,0.0
1.0,40.0,47.0,uu,0.23955593673568007,0.19026438470693952,1.049381564578379,0.0
1.0,40.0,47.0,up,0.005549726643154144,0.007234389984818447,0.0015122033796149258,0.0
1.0,40.0,47.0,pu,-0.004310919982553845,0.024093758322243235,0.0015122033796149258,0.0
1.0,40.0,47.0,pp,0.0051270251261447495,-0.0308868441092994,0.9841596556139298,0.0
1.0,40.0,48.0,uu,0.23859562122384642,0.19429587612531218,1.0496184752893636,0.0
1.0,40.0,48.0,up,0.006463752118388017,0.0013549378682678587,-0.0018531596835444281,0.0
1.0,40.0,48.0,pu,-0.0052848747198996895,0.020907235195568107,-0.0018531596835444281,0.0
