temperature,replicate,lag,kernel_model,count_tail_probability,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
0.58,1.0,100.0,lag_conditioned,0.0,0.6602804689199699,0.6244853324897498,0.057319418996614635,0.40818926932711874,0.2825033492140283,0.12568592011309043,0.6686464377668419,0.6748742076596806,0.006227769892838797,0.28476213773966746,0.25770578929215066,0.02705634844751681,0.08196740425905553,0.03757140173250425,0.044396002526551286
0.58,1.0,100.0,lag_pooled,0.0,0.7155822077840265,0.6244853324897498,0.14587512396982016,0.5731927113731445,0.2825033492140283,0.2906893621591162,0.6569059356199692,0.6748742076596806,0.017968272039711408,0.2853396895515199,0.25770578929215066,0.027633900259369237,0.08284181393854974,0.03757140173250425,0.04527041220604549
0.58,1.0,200.0,lag_conditioned,0.0,1.1634100867833246,1.1970958003749623,0.028139530337577434,0.23961597149198788,0.17003137790337108,0.0695845935886168,0.49421677501456046,0.4733264732392782,0.020890301775282283,0.12214219476378846,0.07641999280253814,0.04572220196125032,0.02704587635387072,0.0035374896626027496,0.023508386691267973
0.58,1.0,200.0,lag_pooled,0.0,1.1840283873374136,1.1970958003749623,0.010915929229269428,0.390982096825919,0.17003137790337108,0.22095071892254792,0.5051922101583621,0.4733264732392782,0.03186573691908395,0.1435267452007556,0.07641999280253814,0.06710675239821745,0.030074056288440433,0.0035374896626027496,0.026536566625837685
0.58,1.0,400.0,lag_conditioned,0.0,2.193334768616581,2.302522122507715,0.04742076213896085,0.13079222133429136,0.08241548506967367,0.04837673626461769,0.26331231521334175,0.2367746362454057,0.026537678967936046,0.021383711485578667,0.005007075510426834,0.016376635975151835,0.004138414337268575,-0.0015893870932790705,0.0057278014305476455
0.58,1.0,400.0,lag_pooled,0.0,2.057636325296695,2.302522122507715,0.10635545900610532,0.2254246695203388,0.08241548506967367,0.14300918445066513,0.3063865758572602,0.2367746362454057,0.0696119396118545,0.04080949347779749,0.005007075510426834,0.03580241796737066,0.005576269336318272,-0.0015893870932790705,0.007165656429597342
0.58,1.0,600.0,lag_conditioned,0.0,3.2340523326270425,3.5092386999443375,0.07841768282153616,0.07770914819120844,0.04880248109629837,0.028906667094910077,0.13347458348454108,0.10971466137823888,0.023759922106302206,0.0028407633835244076,0.003664696471714173,0.0008239330881897656,0.0033568225206953893,-0.002099056579231919,0.005455879099927308
0.58,1.0,600.0,lag_pooled,0.0,2.840169953757589,3.5092386999443375,0.19065922936429525,0.15581539486177642,0.04880248109629837,0.10701291376547806,0.19166719846009733,0.10971466137823888,0.08195253708185846,0.012557832373899788,0.003664696471714173,0.008893135902185614,0.0018155970064223331,-0.002099056579231919,0.003914653585654252
0.58,2.0,10.0,lag_conditioned,0.0,0.1408812323846904,0.1083795327477406,0.29988779996495585,1.0737358875925884,0.5107570349990798,0.5629788525935087,0.9143265431144552,0.9314878117545882,0.01716126864013301,0.7265882788916863,0.7630886989191645,0.03650042002747822,0.424350383678204,0.45249722124563235,0.028146837567428362
0.58,2.0,10.0,lag_pooled,0.0,0.1524229219110047,0.1083795327477406,0.4063810578126179,1.3612736166214692,0.5107570349990798,0.8505165816223894,0.9090911267045269,0.9314878117545882,0.022396685050061316,0.7193414614919835,0.7630886989191645,0.04374723742718101,0.42290578882977736,0.45249722124563235,0.02959143241585499
