record,model,member_index,fit_time,evaluation_epsilon,horizon_time,position_relative_l2_error,full_state_relative_l2_error,linearity_tolerance,linearity_identified,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,position_error_threshold,model_identified,gate_evaluable,transition_stable,gate_pass,spectral_radius,design_rank,fit_failure,training_second_generator_relative_l2_error,maximum_residual_state_correlation,position_relative_l2_error_standard_error,maximum_position_relative_l2_error,linearity_identified_fold_count,evaluable_fold_count,all_identified_folds_pass
leave_one_member_out,free_transition,4,0.1,0.002,1.0,257.3901413126126,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0359764602003108,12.0,,,,,,,,
leave_one_member_out,generator_constrained,5,0.1,0.001,0.2,0.33118562836640064,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0629020701545913,12.0,,0.4236335679676682,0.030854985850887907,,,,,
leave_one_member_out,generator_constrained,5,0.1,0.001,1.0,3062.204783307497,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0629020701545913,12.0,,0.4236335679676682,0.030854985850887907,,,,,
leave_one_member_out,generator_constrained,5,0.1,0.002,0.2,0.3318103874744917,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0629020701545913,12.0,,0.4236335679676682,0.030854985850887907,,,,,
leave_one_member_out,generator_constrained,5,0.1,0.002,1.0,3054.0983232503518,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0629020701545913,12.0,,0.4236335679676682,0.030854985850887907,,,,,
leave_one_member_out,free_transition,5,0.1,0.001,0.2,0.41032368393004715,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0432203162187423,12.0,,,,,,,,
leave_one_member_out,free_transition,5,0.1,0.001,1.0,311.2782853096222,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0432203162187423,12.0,,,,,,,,
leave_one_member_out,free_transition,5,0.1,0.002,0.2,0.4108696567380194,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0432203162187423,12.0,,,,,,,,
leave_one_member_out,free_transition,5,0.1,0.002,1.0,310.48467244658553,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0432203162187423,12.0,,,,,,,,
leave_one_member_out,generator_constrained,6,0.1,0.001,0.2,0.4764539672539277,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0636048554488835,12.0,,0.46168127317601243,0.020456938016959213,,,,,
leave_one_member_out,generator_constrained,6,0.1,0.001,1.0,10178.239835247447,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0636048554488835,12.0,,0.46168127317601243,0.020456938016959213,,,,,
leave_one_member_out,generator_constrained,6,0.1,0.002,0.2,0.4766165133415322,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0636048554488835,12.0,,0.46168127317601243,0.020456938016959213,,,,,
leave_one_member_out,generator_constrained,6,0.1,0.002,1.0,10158.07039717939,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0636048554488835,12.0,,0.46168127317601243,0.020456938016959213,,,,,
leave_one_member_out,free_transition,6,0.1,0.001,0.2,0.4320559753643167,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0403408257142615,12.0,,,,,,,,
leave_one_member_out,free_transition,6,0.1,0.001,1.0,376.92811008706286,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0403408257142615,12.0,,,,,,,,
